Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,000001,Current,Communications Hub,106C,4331,00,AC,433100AC,124074DA,CHTS V1.0 ,GBCS Version 1.0 ,137ED5BC81A21F6D2187BC380381AEA7705BF65D3E4DAEA28EFD44113079D5E9
Version 2.051 Issued on 21-09-2022,000002,Current,Communications Hub,1086,5431,1F,52,54311F52,000A6900,CHTS V1.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000003,Current,Communications Hub,1086,5432,20,52,54322052,000A6900,CHTS V1.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000004,Current,Communications Hub,1086,5433,21,52,54332152,000A6900,CHTS V1.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000005,Current,Communications Hub,106C,4331,00,AC,433100AC,1220665A,CHTS V1.0 ,GBCS Version 1.0 ,BD98870B099252CFD3FC6299630624A3D75C54125493E07659AE7B66AE8DC05D
Version 2.051 Issued on 21-09-2022,000006,Current,Communications Hub,1086,5431,1F,52,54311F52,000A7100,CHTS V1.0 ,GBCS Version 1.0 ,7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,000007,Removed,Communications Hub,1086,5433,21,52,54332152,000A7100,CHTS V1.0 ,GBCS Version 1.0 ,7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,000008,Current,Communications Hub,1086,5432,20,52,54322052,000A7100,CHTS V1.0 ,GBCS Version 1.0 ,7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,000009,Current,Communications Hub,1086,5431,1F,52,54311F52,000A7200,CHTS V1.0 ,GBCS Version 1.0 ,2846A641002B67E3676EA04616CBC55A9EF79911C15A11DC4886C6042A87DD59
Version 2.051 Issued on 21-09-2022,000010,Current,Communications Hub,1086,5432,20,52,54322052,000A7200,CHTS V1.0 ,GBCS Version 1.0 ,2846A641002B67E3676EA04616CBC55A9EF79911C15A11DC4886C6042A87DD59
Version 2.051 Issued on 21-09-2022,000011,Current,Communications Hub,1086,5434,21,52,54342152,000A7200,CHTS V1.0 ,GBCS Version 1.0 ,2846A641002B67E3676EA04616CBC55A9EF79911C15A11DC4886C6042A87DD59
Version 2.051 Issued on 21-09-2022,000012,Current,Communications Hub,1086,5434,21,52,54342152,000A7100,CHTS V1.0 ,GBCS Version 1.0 ,7D0A4EFC6D236E6F0F12BBB0B7F8F89CAA94D1353358835991E0CE6CBBF34365
Version 2.051 Issued on 21-09-2022,000013,Current,Communications Hub,5401,5731,01,00,57310100,010B0000,CHTS V1.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000014,Current,Communications Hub,106C,4331,00,AC,433100AC,12407768,CHTS V1.0 ,GBCS Version 1.0 ,2A6C3FBA7AB358292EA0700BEB107DE91550E8480D80DC5DE4DDF24F63BCB524
Version 2.051 Issued on 21-09-2022,000015,Removed,Communications Hub,5401,5731,00,01,57310001,010C0000,CHTS V1.0 ,GBCS Version 1.0 ,ADB20C36DE6093AB689DDF2334A35F6201375592347964F54CE78AF573884201
Version 2.051 Issued on 21-09-2022,000016,Current,Communications Hub,5401,5731,01,00,57310100,010C0000,CHTS V1.0 ,GBCS Version 1.0 ,ADB20C36DE6093AB689DDF2334A35F6201375592347964F54CE78AF573884201
Version 2.051 Issued on 21-09-2022,000017,Current,Communications Hub,5401,5731,01,00,57310100,010E0000,CHTS V1.0 ,GBCS Version 1.0 ,BCA7B4C7461F4F135F22300E602EA7A5F32E8BD86A49A40CA77436ECF3E08101
Version 2.051 Issued on 21-09-2022,000018,Current,Communications Hub,1086,5431,1F,52,54311F52,000A7300,CHTS V1.0 ,GBCS Version 1.0 ,C8021BD3E6D0E7B61E090ECECBB3C437A7C53F3E4B568C5B1177970D7D7DBD6B
Version 2.051 Issued on 21-09-2022,000019,Current,Communications Hub,1086,5432,20,52,54322052,000A7300,CHTS V1.0 ,GBCS Version 1.0 ,C8021BD3E6D0E7B61E090ECECBB3C437A7C53F3E4B568C5B1177970D7D7DBD6B
Version 2.051 Issued on 21-09-2022,000020,Current,Communications Hub,1086,5434,21,52,54342152,000A7300,CHTS V1.0 ,GBCS Version 1.0 ,C8021BD3E6D0E7B61E090ECECBB3C437A7C53F3E4B568C5B1177970D7D7DBD6B
Version 2.051 Issued on 21-09-2022,000021,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24010701,SMETS V2.0 ,GBCS Version 1.0 ,7124FA147A6850B3205D1E4F9CA6B3E820194A7F3B0EB0373BF47EA7F8877C21
Version 2.051 Issued on 21-09-2022,000022,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24020000,SMETS V2.0 ,GBCS Version 1.0 ,AF07F1E8895DA5A5AC3846E61C45F6FB5A14105A00F787DE30138A2EFF722142
Version 2.051 Issued on 21-09-2022,000023,Removed,Gas Smart Meter,1063,4772,01,01,47720101,03030236,SMETS V2.0 ,GBCS Version 1.0 ,DDF62A640765028BA5C8412F864EF09D6D0508A90849017D0232F663460200A5
Version 2.051 Issued on 21-09-2022,000024,Removed,Communications Hub,106C,4331,00,AC,433100AC,125080E0,CHTS V1.0 ,GBCS Version 1.0 ,8C83FA493AC03AB2A2CAF1DDA7927496AEDB0EC6E95F9E189EF89B497AE8A5A2
Version 2.051 Issued on 21-09-2022,000025,Current,Communications Hub,5401,5731,01,00,57310100,020D0000,CHTS V1.0 ,GBCS Version 1.0 ,926CB81A16892B3D5865D173B4F1BDC4665F377DBB53940C81368E025BFE7A99
Version 2.051 Issued on 21-09-2022,000026,Current,Communications Hub,1086,5431,1F,52,54311F52,0B150000,CHTS V1.0 ,GBCS Version 1.0 ,C13D4C1647CA378E249EDA93A1B3EFD125E690D7061D27CF276DC2044C588F36
Version 2.051 Issued on 21-09-2022,000027,Current,Communications Hub,1086,5432,20,52,54322052,0B150000,CHTS V1.0 ,GBCS Version 1.0 ,C13D4C1647CA378E249EDA93A1B3EFD125E690D7061D27CF276DC2044C588F36
Version 2.051 Issued on 21-09-2022,000028,Current,Communications Hub,1086,5434,21,52,54342152,0B150000,CHTS V1.0 ,GBCS Version 1.0 ,C13D4C1647CA378E249EDA93A1B3EFD125E690D7061D27CF276DC2044C588F36
Version 2.051 Issued on 21-09-2022,000029,Current,Communications Hub,1086,5431,1F,52,54311F52,0B160000,CHTS V1.0 ,GBCS Version 1.0 ,07A0625593BABDC60CB4C7BEE27450919F175AB9DD6C6B1183EFDCB542B25CB6
Version 2.051 Issued on 21-09-2022,000030,Current,Communications Hub,1086,5432,20,52,54322052,0B160000,CHTS V1.0 ,GBCS Version 1.0 ,07A0625593BABDC60CB4C7BEE27450919F175AB9DD6C6B1183EFDCB542B25CB6
Version 2.051 Issued on 21-09-2022,000031,Current,Communications Hub,1086,5434,21,52,54342152,0B160000,CHTS V1.0 ,GBCS Version 1.0 ,07A0625593BABDC60CB4C7BEE27450919F175AB9DD6C6B1183EFDCB542B25CB6
Version 2.051 Issued on 21-09-2022,000032,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24020200,SMETS V2.0 ,GBCS Version 1.0 ,788D57D4DD2E02F33EB56ABEF871D5652C209E0B70B46E8742F0EA6FF0D44F9A
